UniqueId,SocialMedia,SocialMediaTime,News,NewsTime,Blogs,BlogsTime,BounceRate,ExitRate,PageValue,TrafficKind,OS,Browser,Month,Region,VisitorKind,DayImportance,IsWeekend,IsSale
000x41,3.0,87.833,0.0,0.0,27.0,798.333,0.0,0.013,22.916,search,windows,Google-Chrome,Feb,East North Central,Returning,0.8,0.0,True
000x4c,10.0,1005.667,0.0,0.0,36.0,2111.342,0.004,0.014,11.439,direct,windows,Other,Feb,New England,Returning,0.0,0.0,True
000x65,4.0,61.0,0.0,0.0,19.0,607.0,0.0,0.027,17.536,referral,android,Safari,Feb,West South Central,Returning,1.0,1.0,True
000xc6,0.0,0.0,0.0,0.0,17.0,840.233,0.0,0.002,109.176,direct,windows,Google-Chrome,Mar,Pacific,New,0.0,0.0,True
000xc7,3.0,94.0,2.0,125.0,55.0,1970.845,0.0,0.002,96.255,direct,windows,Firefox,Mar,New England,New,0.0,1.0,True
000xc8,1.0,32.0,0.0,0.0,50.0,2867.0,0.0,0.004,153.443,referral,windows,Google-Chrome,Mar,West South Central,Returning,0.0,1.0,True
000xce,1.0,18.0,0.0,0.0,16.0,1331.75,0.0,0.012,33.8,search,windows,Samsung,Mar,Mid-Atlantic,New,0.0,0.0,True
000xe4,0.0,0.0,0.0,0.0,16.0,2337.0,0.0,0.013,17.763,search,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
000xf8,16.0,155.631,0.0,0.0,32.0,908.013,0.005,0.018,4.369,direct,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x106,1.0,158.0,1.0,64.0,29.0,1916.762,0.006,0.019,8.772,direct,windows,Google-Chrome,Mar,East North Central,Returning,0.0,1.0,True
00x109,0.0,0.0,0.0,0.0,63.0,5220.083,0.0,0.003,51.463,search,windows,Samsung,Mar,East North Central,Returning,0.0,1.0,True
00x114,4.0,15.0,0.0,0.0,10.0,197.2,0.0,0.017,38.99,search,android,Safari,Mar,New England,Returning,0.0,1.0,True
00x126,2.0,8.0,1.0,14.333,14.0,603.667,0.0,0.012,44.679,referral,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x127,0.0,0.0,0.0,0.0,13.0,328.917,0.0,0.014,59.79,search,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x140,-20.0,,0.0,0.0,23.0,1483.6,,0.038,7.103,search,,Google-Chrome,Mar,,Returning,,0.0,True
00x163,0.0,0.0,1.0,9.0,30.0,1992.833,0.0,0.003,9.227,search,windows,Firefox,Mar,New England,Returning,0.0,0.0,True
00x17b,2.0,102.5,3.0,60.0,22.0,1034.975,0.0,0.014,16.144,direct,android,Safari,Mar,West North Central,Returning,0.0,0.0,True
00x18f,7.0,191.2,4.0,654.333,31.0,1204.6,0.001,0.013,11.92,direct,windows,Google-Chrome,Mar,West South Central,Returning,0.0,0.0,True
00x1a0,0.0,0.0,2.0,39.0,15.0,245.0,0.0,0.012,11.996,search,windows,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x1a8,4.0,74.0,2.0,629.0,149.0,5042.458,0.004,0.007,18.368,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x1f7,4.0,100.3,0.0,0.0,66.0,2868.133,0.011,0.017,9.162,search,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x1fe,14.0,416.393,6.0,449.333,258.0,11301.204,0.0,0.007,33.612,direct,windows,Firefox,Mar,Pacific,Returning,0.0,0.0,True
00x25b,3.0,68.0,1.0,103.0,10.0,808.5,0.0,0.015,35.993,referral,windows,Google-Chrome,Mar,East North Central,Returning,0.0,1.0,True
00x261,1.0,34.0,0.0,0.0,7.0,179.0,0.0,0.029,53.134,referral,windows,Firefox,Mar,Mid-Atlantic,New,0.0,0.0,True
00x262,6.0,176.25,12.0,404.0,41.0,2720.671,0.013,0.033,8.834,direct,windows,Google-Chrome,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x264,6.0,523.214,2.0,263.0,48.0,2309.732,0.004,0.015,10.601,search,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x266,3.0,118.667,0.0,0.0,17.0,694.0,0.004,0.008,27.451,direct,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x26d,3.0,92.833,0.0,0.0,24.0,463.817,0.003,0.015,17.842,direct,android,Safari,Mar,New England,Returning,0.0,0.0,True
00x279,0.0,0.0,0.0,0.0,37.0,1643.436,0.006,0.032,2.189,direct,windows,Firefox,Mar,East North Central,Returning,0.0,1.0,True
00x27d,0.0,0.0,0.0,0.0,27.0,1070.462,0.0,0.007,57.729,direct,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
